name	wikipedia	pop est.	status
Barnstable County	https://en.wikipedia.org/wiki/Barnstable_County,_Massachusetts	228996	Operational
Berkshire County	https://en.wikipedia.org/wiki/Berkshire_County,_Massachusetts	129026	Dissolved
Bristol County	https://en.wikipedia.org/wiki/Bristol_County,_Massachusetts	579200	Operational
Dukes County	https://en.wikipedia.org/wiki/Dukes_County,_Massachusetts	21082	Operational
Essex County	https://en.wikipedia.org/wiki/Essex_County,_Massachusetts	806432	Dissolved
Franklin County	https://en.wikipedia.org/wiki/Franklin_County,_Massachusetts	70180	Dissolved
Hampden County	https://en.wikipedia.org/wiki/Hampden_County,_Massachusetts	466372	Dissolved
Hampshire County	https://en.wikipedia.org/wiki/Hampshire_County,_Massachusetts	161776	Dissolved
Middlesex County	https://en.wikipedia.org/wiki/Middlesex_County,_Massachusetts	1611699	Dissolved
Nantucket County	https://en.wikipedia.org/wiki/Nantucket_County,_Massachusetts	14314	Operational
Norfolk County	https://en.wikipedia.org/wiki/Norfolk_County,_Massachusetts	725345	Operational
Plymouth County	https://en.wikipedia.org/wiki/Plymouth_County,_Massachusetts	534718	Operational
Suffolk County	https://en.wikipedia.org/wiki/Suffolk_County,_Massachusetts	822517	Dissolved
Worcester County	https://en.wikipedia.org/wiki/Worcester_County,_Massachusetts	862111	Dissolved
